departamento,anio,uso_cabina_porc,tel_fija_unid,tel_movil_unid,tel_pub_unid,uso_inter_porc,sub_inter_fijo_unid,vab_tel_miles_2007,pbi_regional_miles,hogar_1_radio_porc,hogar_1_tv_porc,hogar_con_cable_porc,hogar_1_compu_porc,compus,id_logit
Amazonas,2011,10.795442300383673,5125.0,168977.0,1192.0,15.8,1197.0,29703.0,2287107,81.34105569590176,59.966254896520574,13.55962606899119,12.38540692961249,643.0,Bajo
Amazonas,2012,9.98999635977094,4771.0,187753.0,1095.0,18.224461391737496,1430.0,34466.0,2551601,79.4,60.4,22.91153079262354,24.07222634177767,3179.0,Bajo
Amazonas,2013,9.444902298455618,4225.0,208308.0,1031.0,16.79378055897732,1363.0,38609.0,2682266,78.21764864311781,61.02961170441543,7.262253803019417,11.54103060285886,992.0,Bajo
Amazonas,2014,8.969762254528192,3606.0,230046.0,984.0,16.5572312330451,1243.0,43519.0,2824603,73.37773637889329,59.4646728382351,22.45611488972062,34.10699413017737,2657.0,Bajo
Amazonas,2015,8.598918616476842,3289.0,248781.0,879.0,19.74847477644887,1155.0,47927.0,2782128,71.12667937912492,60.831013149234145,5.302196977177026,10.87307323258978,1632.0,Bajo
Amazonas,2016,6.772630213809827,2604.0,264260.0,833.0,21.79046172501808,938.0,54385.0,2784366,67.75090526129512,58.70998134365975,6.441040150437665,15.59794069448546,2510.0,Bajo
Amazonas,2017,6.637417259559432,2761.0,269583.0,797.0,25.49729647353839,1619.0,60704.0,2940822,68.18258482980673,58.66283018088555,47.77441653758572,32.99715866690597,1377.0,Bajo
Amazonas,2018,5.369275416603204,2393.0,268558.0,682.0,26.099329482795557,1885.0,63345.0,3118373,64.57841974802757,60.21372387947878,12.21554813230518,20.40063665893611,4502.0,Bajo
Amazonas,2019,3.7378968256790337,2457.0,270047.0,202.0,33.64527420020155,2259.0,68367.0,3168990,61.77265824905986,61.8032141243726,6.528793217828382,8.325593292697324,1411.0,Bajo
Amazonas,2020,1.656297215461163,2228.0,300495.0,172.0,45.14543967208466,4424.0,74571.0,3034150,68.7767219829557,64.25127851365974,16.18829350289209,14.37947350872227,1019.0,Bajo
Amazonas,2021,0.637002843850399,2818.0,329112.0,130.0,55.087828386091196,6867.0,84374.0,3129734,63.44115963093859,61.78558041628358,21.92045382088456,26.88434149993853,1034.0,Bajo
Áncash,2011,19.8122034468186,76670.0,713934.0,7459.0,32.1,33036.0,280965.0,16155687,79.38018155926613,82.76477050706488,16.30744333307612,22.23285892026069,2593.0,Alto
Áncash,2012,17.781191627112065,81698.0,793260.0,8757.0,33.07722444145759,42173.0,321793.0,17666947,75.8,81.2,27.26377016057662,20.24485510240498,2212.0,Alto
Áncash,2013,16.031436651733603,79562.0,837312.0,8148.0,33.67756428812558,48127.0,357779.0,18478843,78.1322932438218,82.61094584004553,22.26748787758176,22.7222251864911,1208.0,Alto
Áncash,2014,15.091477935791694,75455.0,926243.0,7847.0,33.701769266213724,48684.0,391962.0,16028265,73.80203888690667,81.84704562134753,53.77191509399826,41.58439470755167,10254.0,Alto
Áncash,2015,13.55123463906757,72307.0,897929.0,8294.0,36.488720613006876,51920.0,424520.0,17584621,76.43860781048413,79.74408327723485,41.02753031438884,21.82876492480365,2198.0,Alto
Áncash,2016,11.55094720078613,69722.0,972094.0,5824.0,40.07158954475022,52579.0,474820.0,18365696,73.04366403918185,80.98844399725725,20.15745162287424,13.86330901132564,1481.0,Alto
Áncash,2017,10.515967932821738,70152.0,1013903.0,5276.0,41.87574137852187,57442.0,530024.0,19317454,72.15882743264086,78.46547657548608,32.92908966731424,23.73582358532417,226.0,Alto
Áncash,2018,9.04762270555808,66212.0,1072949.0,4630.0,48.00657412301726,69750.0,579076.0,20712339,71.84288021478734,78.35018007719991,27.74222002654323,35.25622177722599,1515.0,Alto
Áncash,2019,7.3583455540716205,55796.0,1052960.0,3957.0,56.19022025064782,58721.0,623821.0,20059093,70.55040120587802,81.6568432693245,26.38523447404962,23.98247110478672,1017.0,Alto
Áncash,2020,3.424886132388172,53220.0,1119948.0,3312.0,62.9687746542957,68207.0,664563.0,18770139,72.58798442455522,81.02117804732507,23.46667737449801,16.89228532297182,2950.0,Alto
Áncash,2021,0.5994380818254023,53599.0,1177110.0,2947.0,70.48741081957868,76734.0,743941.0,21491279,66.3338613080816,81.02692829615135,4.765383348364719,17.1241325302267,2452.0,Alto
Apurímac,2011,16.809762088623522,9392.0,233668.0,1816.0,20.4,3053.0,31657.0,1869417,83.14671989147807,59.50855175524463,48.66472112855913,16.05917491198394,1249.0,Bajo
Apurímac,2012,17.22163950797895,10922.0,259632.0,1854.0,22.37069860997293,3912.0,36144.0,2110908,82.8,65.6,16.1500900673712,32.56382295000638,1821.0,Bajo
Apurímac,2013,15.019034272111483,10837.0,286771.0,1691.0,20.619830053170613,4191.0,39741.0,2342674,83.91601247441791,62.44241581346481,29.6784057291822,23.80373698801714,412.0,Bajo
